Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-04-04,3,0,0,Local - Social Contact,Federal Administration Tribal Area,Khyber
2020-04-04,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Lakki Marwat
2020-04-04,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
2020-04-04,2,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
2020-04-04,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Torghar
2020-04-04,0,0,12,Local - Social Contact,Sindh,Karachi
2020-04-04,10,0,0,Unknown,Baluchistan,Quetta
2020-04-04,0,0,3,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-04-04,3,0,0,Unknown,Azad Jummu Kashmir,Muzaffarabad
2020-04-04,0,0,5,Unknown,Gilgit-Baltistan,Skardu
2020-04-04,0,0,9,Unknown,Gilgit-Baltistan,Nagar
2020-04-04,0,0,3,Unknown,Gilgit-Baltistan,Ghanche
2020-04-05,3,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
2020-04-05,4,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
2020-04-05,7,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-04-05,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
2020-04-05,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
2020-04-05,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
2020-04-05,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
2020-04-05,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
2020-04-05,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
2020-04-05,4,0,4,Local - Social Contact,Khyber Pakhtunkhwa,Buner
2020-04-05,3,0,9,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-04-05,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
2020-04-05,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
2020-04-05,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
2020-04-05,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
2020-04-05,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
2020-04-05,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak
2020-04-05,0,0,1,Local - Social Contact,Federal Administration Tribal Area,Kurrum
